URL;Image URL;Brand;Model;Also known as;Year;Megapixels;Effective megapixels;Total megapixels;Sensor size;Sensor type;Sensor resolution;Max. image resolution;Crop factor;Optical zoom;Digital zoom;ISO;RAW support;Manual focus;Normal focus range;Macro focus range;Focal length (35mm equiv.);Aperture priority;Max aperture;Max. aperture (35mm equiv.);Depth of field;Metering;Exposure Compensation;Shutter priority;Min. shutter speed;Max. shutter speed;Built-in flash;External flash;Viewfinder;White balance presets;Screen size;Screen resolution;Video capture;Max. video resolution;Storage types;USB;HDMI;Wireless;GPS;Battery;Weight;Dimensions
https://www.digicamdb.com/specs/acer_cl-5300/;images/cameras/acer_cl_5300.png;Acer;CL-5300;;2006;5;;;"1/2.5"" (~ 5.75 x 4.32 mm)";CCD;2579 x 1939;2592 x 1944;6,02;No;Yes;Auto, 50, 100, 200;;no;;;38 mm;No;f2.8;f16.9;"simulate &rarr;";Centre weighted;"&#177;2 EV (in 1/3 EV steps)";No;2 sec;1/2000 sec;yes;no;Optical;5;"2""";153,000 dots;;;Secure Digital;;;;;2x AA;85 g;90 x 55 x 24 mm
https://www.digicamdb.com/specs/acer_ce-5430/;images/cameras/acer_ce5430.png;Acer;CE-5430;;2006;5;;;"1/2.5"" (~ 5.75 x 4.32 mm)";CCD;2579 x 1939;2592 x 1936;6,02;Yes;Yes;Auto, 64, 100, 200;;no;40 cm;5 cm;32 - 96 mm;No;f2.8 - f4.8;f16.9 - f28.9;"simulate &rarr;";Centre weighted;"&#177;2 EV (in 1/3 EV steps)";No;1/2 sec;1/1000 sec;yes;no;Optical;5;"2.36""";110,000 dots;;;Secure Digital;;;;;2x AA;130 g;88.5 x 60 x 28 mm
https://www.digicamdb.com/specs/acer_ce-6430/;images/cameras/acer_ce_6430.png;Acer;CE-6430;;2006;6,36;;;"1/2.5"" (~ 5.75 x 4.32 mm)";CCD;2909 x 2187;2864 x 2152;6,02;Yes;Yes;Auto, 64, 100, 200;;no;40 cm;5 cm;34 - 102 mm;No;f2.8 - f4.8;f16.9 - f28.9;"simulate &rarr;";Centre weighted;"&#177;2 EV (in 1/3 EV steps)";No;1/2 sec;1/1000 sec;yes;no;None;5;"2.36""";110,000 dots;;;Secure Digital;;;;;2x AA;130 g;88.5 x 60 x 28 mm
https://www.digicamdb.com/specs/acer_cu-6530/;images/cameras/acer_cu6530.png;Acer;CU-6530;;2006;6,16;;;"1/2.5"" (~ 5.75 x 4.32 mm)";CCD;2862 x 2152;2816 x 2112;6,02;Yes;Yes;Auto, 50, 100, 200;;no;50 cm;6 cm;32 - 96 mm;No;f2.8 - f4.8;f16.9 - f28.9;"simulate &rarr;";Centre weighted, Spot;"&#177;2 EV (in 1/3 EV steps)";No;1/2 sec;1/1000 sec;yes;no;None;6;"2.5""";230,400 dots;;;Secure Digital;;;;;Li-Ion;110 g;90 x 54 x 18 mm
https://www.digicamdb.com/specs/acer_cs-5531/;images/cameras/acer_cs5531.png;Acer;CS-5531;;2006;5;;;"1/2.5"" (~ 5.75 x 4.32 mm)";CCD;2579 x 1939;2560 x 1920;6,02;Yes;Yes;Auto, 50, 100, 200;;no;50 cm;6 cm;32 - 96 mm;No;f2.8 - f4.8;f16.9 - f28.9;"simulate &rarr;";Centre weighted;"&#177;2 EV (in 1/2 EV steps)";No;1/2 sec;1/2000 sec;yes;no;None;6;"2.5""";201,096 dots;;;Secure Digital;;;;;Li-Ion;180 g;89 x 55 x 24 mm
https://www.digicamdb.com/specs/acer_cp-8660/;images/cameras/dc_acer.png;Acer;CP-8660;;2006;8,2;;;"1/1.8"" (~ 7.11 x 5.33 mm)";CCD;3302 x 2483;3312 x 2488;4,87;Yes;Yes;Auto, 64, 100, 200, 400;;;;2 cm;37 - 222 mm;No;f2.8 - f4.8;f13.6 - f23.4;"simulate &rarr;";Centre weighted;"&#177;2 EV (in 1/3 EV steps)";No;1 sec;1/1500 sec;yes;no;None;6;"2.8""";230,000 dots;;;Secure Digital;;;;;Li-Ion;180 g;96 x 61 x 29 mm
https://www.digicamdb.com/specs/acer_cp-8531/;images/cameras/acer_cp8531.png;Acer;CP-8531;;2006;8,05;;;"1/1.8"" (~ 7.11 x 5.33 mm)";CCD;3272 x 2460;3264 x 2448;4,87;Yes;Yes;Auto, 50, 100, 200, 400;;no;50 cm;5 cm;36 - 108 mm;No;f2.8 - f4.8;f13.6 - f23.4;"simulate &rarr;";Multi-segment, Spot;"&#177;2 EV (in 1/3 EV steps)";No;1/2 sec;1/1500 sec;yes;no;Optical;6;"2.5""";201,096 dots;;;Secure Digital;;;;;Li-Ion;150 g;91 x 57 x 27 mm
https://www.digicamdb.com/specs/acer_cr-8530/;images/cameras/acer_cr8530.png;Acer;CR-8530;;2005;8,05;;;"1/1.8"" (~ 7.11 x 5.33 mm)";CCD;3272 x 2460;3264 x 2448;4,87;Yes;Yes;Auto, 50, 100, 200;;no;50 cm;5 cm;36 - 108 mm;No;f2.8 - f4.8;f13.6 - f23.4;"simulate &rarr;";Multi-segment, Spot;"&#177;2 EV (in 1/3 EV steps)";No;1/2 sec;1/1500 sec;yes;no;Optical;6;"2.5""";201,096 dots;;;Secure Digital;;;;;Li-Ion;150 g;91 x 57 x 27 mm
https://www.digicamdb.com/specs/acer_ci-6330/;images/cameras/acer_ce5330.png;Acer;CI-6330;;2005;6,16;;;"1/1.8"" (~ 7.11 x 5.33 mm)";CCD;2862 x 2152;2848 x 2136;4,87;Yes;Yes;Auto, 50, 100, 200;;no;50 cm;6 cm;36 - 108 mm;No;f2.8 - f4.8;f13.6 - f23.4;"simulate &rarr;";Centre weighted, Spot;"&#177;1.5 EV (in 1/2 EV steps)";No;1 sec;1/1000 sec;yes;no;Optical;5;"2""";130,338 dots;;;Secure Digital;;;;;2x AA;160 g;91 x 61 x 31.5 mm
https://www.digicamdb.com/specs/acer_cs-5530/;images/cameras/acer_cs5530.png;Acer;CS-5530;;2005;5;;;"1/2.5"" (~ 5.75 x 4.32 mm)";CCD;2579 x 1939;2560 x 1920;6,02;Yes;Yes;Auto, 50, 100, 200;;no;50 cm;6 cm;32 - 96 mm;No;f2.8 - f4.8;f16.9 - f28.9;"simulate &rarr;";Matrix, Spot;"&#177;2 EV (in 1/3 EV, 1/2 EV steps)";No;8 sec;1/1000 sec;yes;no;None;6;"2.5""";201,096 dots;;;Secure Digital;;;;;Li-Ion;180 g;89 x 55 x 24 mm
